,x,y,,X,Y
gesamt,500,500,,1000,1000
a,0,0,,0,1000
a,0,462,,0,924
a,196,0,,392,1000
a,196,397,,392,794
b,0,462,,0,924
b,302,358,,604,716
b,302,139,,604,278
b,0,40,,0,80
c,0,40,,0,80
c,204,106,,408,212
c,204,0,,408,0
c,0,0,,0,0
